# XviD 2pass stat file (core version 1.3.5)
# Please do not modify this file

p 2 0 1280 70 13143 1934
b 4 0 1350 0 1917 1023
b 4 0 1350 0 2697 1283
p 2 1 1231 118 12018 1819
b 4 0 1350 0 2348 1206
b 4 0 1350 0 2135 1108
p 2 1 1263 86 12569 1870
b 4 0 1350 0 2677 1274
b 4 0 1350 0 2469 1254
p 2 3 1282 65 14614 2047
b 4 0 1350 0 2110 1076
b 4 0 1350 0 2626 1279
p 2 6 1250 94 13397 2015
b 4 0 1350 0 3407 1450
b 4 0 1350 0 3259 1337
p 2 21 1222 107 13220 1954
b 4 0 1350 0 2528 1240
b 4 0 1350 0 2257 1168
p 2 21 1201 128 13055 1941
b 4 0 1350 0 1892 1041
b 4 0 1350 0 2302 1160
p 2 2 1283 65 16428 2040
b 4 0 1350 0 2078 1098
b 4 0 1350 0 2179 1174
p 2 0 1271 79 12645 1888
b 4 0 1350 0 2300 1241
b 4 0 1350 0 2302 1101
p 2 1 1271 78 14025 1940
b 4 0 1350 0 1827 947
b 4 0 1350 0 1880 1009
p 2 0 1253 97 13010 1865
b 4 0 1350 0 2707 1235
b 4 0 1350 0 1691 955
p 2 0 1299 51 15460 2032
b 4 0 1350 0 2179 1172
b 4 0 1350 0 2379 1214
p 2 1 1300 49 13327 1937
b 4 0 1350 0 2022 1089
b 4 0 1350 0 2069 1057
p 2 5 1223 122 13649 1852
b 4 0 1350 0 2553 1142
b 4 0 1350 0 2022 1024
p 2 3 1251 96 12484 1830
b 4 0 1350 0 2191 1151
b 4 0 1350 0 1815 1052
p 2 2 1276 72 14606 1988
b 4 0 1350 0 1552 907
b 4 0 1350 0 1722 1016
p 2 2 1266 82 10659 1834
b 4 0 1350 0 1464 966
b 4 0 1350 0 1434 897
p 2 0 1237 113 11264 1792
b 4 0 1350 0 2180 1128
b 4 0 1350 0 1211 745
p 2 0 1232 118 10723 1780
b 4 0 1350 0 2068 1102
b 4 0 1350 0 2190 1305
p 2 1 1281 68 13119 1934
b 4 0 1350 0 1522 915
b 4 0 1350 0 2571 1258
p 2 0 1255 95 9841 1792
b 4 0 1350 0 2414 1145
b 4 0 1350 0 1294 903
p 2 1 1253 96 8935 1739
b 4 0 1350 0 1351 864
b 4 0 1350 0 1839 921
p 2 0 1195 155 8521 1696
b 4 0 1350 0 1579 995
b 4 0 1350 0 1208 899
p 2 0 1263 87 10434 1837
b 4 0 1350 0 1195 887
b 4 0 1350 0 1334 928
p 2 0 1241 109 9567 1756
b 4 0 1350 0 1035 820
b 4 0 1350 0 1548 1008
p 2 0 1243 107 10039 1787
b 4 0 1350 0 1039 777
b 4 0 1350 0 2578 1054
p 2 0 1213 137 7899 1684
b 4 0 1350 0 2261 1047
b 4 0 1350 0 1994 1076
p 2 0 1280 70 13256 1915
b 4 0 1350 0 2048 1129
b 4 0 1350 0 1746 928
p 2 5 1234 111 13153 1862
b 4 0 1350 0 1784 887
b 4 0 1350 0 2212 1055
p 2 4 1226 120 12313 1803
b 4 0 1350 0 1347 833
b 4 0 1350 0 1462 916
p 2 1 1218 131 11730 1751
i 2 1350 0 0 20388 4485
b 4 0 1350 0 1488 1408
b 4 0 1350 0 1492 1402
p 2 0 1270 80 7310 2085
b 4 0 1350 0 1534 1268
b 4 0 1350 0 1943 1416
p 2 77 1184 89 7647 2281
b 4 0 1350 0 2780 1494
p 2 140 1136 74 9717 2564
b 4 0 1350 0 4643 1959
p 2 172 1094 84 12102 2844
b 4 0 1350 0 5105 2323
p 2 233 1087 30 15789 3383
b 4 0 1350 0 3998 2277
p 2 56 1210 84 19610 3001
b 4 0 1350 0 2028 1548
b 4 0 1350 0 2211 1652
p 2 22 1273 55 11589 2421
b 4 0 1350 0 1811 1373
p 2 11 1234 105 9402 2336
b 4 0 1350 0 1980 1422
p 2 58 1228 64 9761 2437
b 4 0 1350 0 2187 1462
p 2 92 1126 132 8635 2332
b 4 0 1350 0 2144 1500
b 4 0 1350 0 1890 1383
p 2 2 1289 59 8417 2079
b 4 0 1350 0 1855 1424
p 2 41 1233 76 9189 2121
b 4 0 1350 0 2214 1426
p 2 128 1140 82 9460 2427
b 4 0 1350 0 1918 1403
p 2 94 1181 75 10450 2419
b 4 0 1350 0 1696 1288
p 2 55 1222 73 9565 2323
b 4 0 1350 0 1549 1228
p 2 27 1247 76 9831 2229
b 4 0 1350 0 1418 1223
b 4 0 1350 0 1274 1147
p 2 6 1267 77 8654 2084
b 4 0 1350 0 1244 1129
b 4 0 1350 0 1253 1088
p 2 12 1252 86 8977 2011
i 2 1350 0 0 35781 4720
b 4 0 1350 0 2120 1792
b 4 0 1350 0 1835 1584
p 2 9 1322 19 12285 2245
b 4 0 1350 0 1820 1670
b 4 0 1350 0 1931 1735
p 2 1 1333 16 11265 2147
b 4 0 1350 0 2364 1910
b 4 0 1350 0 2317 1903
p 2 35 1305 10 14289 2308
b 4 0 1350 0 2150 1625
b 4 0 1350 0 2784 1882
p 2 23 1324 3 17628 2436
b 4 0 1350 0 3624 2042
p 2 72 1268 10 14977 2586
b 4 0 1350 0 3268 2038
p 2 53 1290 7 14477 2559
b 4 0 1350 0 3492 2194
p 2 73 1267 10 14700 2605
b 4 0 1350 0 3414 2166
p 2 78 1256 16 13446 2591
b 4 0 1350 0 3127 2042
p 2 57 1274 19 15010 2577
b 4 0 1350 0 2366 1814
p 2 9 1332 9 16451 2535
b 4 0 1350 0 1797 1443
p 2 11 1317 22 12703 2271
b 4 0 1350 0 2025 1624
b 4 0 1350 0 2065 1638
p 2 12 1323 15 14684 2299
b 4 0 1350 0 1719 1378
p 2 5 1297 48 11152 2058
b 4 0 1350 0 1650 1393
p 2 6 1304 40 10568 2153
b 4 0 1350 0 1850 1398
b 4 0 1350 0 1862 1518
p 2 7 1307 36 12185 2141
b 4 0 1350 0 2163 1568
b 4 0 1350 0 2062 1580
p 2 8 1312 30 12178 2170
b 4 0 1350 0 1925 1609
b 4 0 1350 0 1485 1249
p 2 4 1296 50 12760 2166
b 4 0 1350 0 1636 1425
b 4 0 1350 0 1473 1281
p 2 3 1314 33 11073 2075
b 4 0 1350 0 1742 1382
b 4 0 1350 0 2190 1711
p 2 35 1255 60 15027 2361
b 4 0 1350 0 1916 1547
p 2 2 1285 63 14160 2239
b 4 0 1350 0 1904 1531
b 4 0 1350 0 2008 1536
p 2 10 1276 64 12838 2177
b 4 0 1350 0 2244 1662
b 4 0 1350 0 2165 1588
p 2 20 1277 53 12964 2201
b 4 0 1350 0 2000 1496
b 4 0 1350 0 2120 1553
p 2 10 1267 73 12584 2226
b 4 0 1350 0 1902 1408
p 2 7 1298 45 12452 2168
b 4 0 1350 0 2142 1413
p 2 5 1288 57 11392 2081
b 4 0 1350 0 1688 1289
p 2 6 1284 60 11679 2056
b 4 0 1350 0 2335 1539
b 4 0 1350 0 2554 1659
p 2 7 1312 31 11968 2171
b 4 0 1350 0 2780 1947
p 2 73 1245 32 14683 2490
b 4 0 1350 0 2560 1843
p 2 8 1321 21 17647 2550
b 4 0 1350 0 2293 1585
p 2 10 1299 41 14531 2416
b 4 0 1350 0 2827 1727
p 2 23 1302 25 15094 2485
b 4 0 1350 0 3170 1916
p 2 71 1217 62 13974 2459
b 4 0 1350 0 2914 1759
p 2 66 1257 27 15099 2535
b 4 0 1350 0 2358 1652
p 2 28 1285 37 14612 2357
b 4 0 1350 0 1750 1259
p 2 19 1302 29 13950 2143
b 4 0 1350 0 1796 1374
p 2 9 1258 83 10545 1955
b 4 0 1350 0 1877 1433
b 4 0 1350 0 1545 1249
p 2 11 1301 38 12975 2082
b 4 0 1350 0 1468 1183
b 4 0 1350 0 1571 1249
p 2 0 1312 38 12090 2022
b 4 0 1350 0 1549 1294
b 4 0 1350 0 1868 1637
p 2 8 1324 18 11975 2058
b 4 0 1350 0 1775 1436
b 4 0 1350 0 1869 1432
p 2 4 1320 26 13811 2106
b 4 0 1350 0 1651 1372
b 4 0 1350 0 1570 1304
p 2 0 1338 12 11772 2007
b 4 0 1350 0 2104 1467
p 2 18 1296 36 12036 2090
b 4 0 1350 0 2194 1409
p 2 53 1259 38 12507 2231
b 4 0 1350 0 2921 1821
p 2 59 1268 23 13143 2483
b 4 0 1350 0 3087 1875
p 2 100 1240 10 13927 2569
b 4 0 1350 0 2936 2041
p 2 79 1257 14 12895 2527
b 4 0 1350 0 2683 1864
p 2 69 1267 14 12702 2565
b 4 0 1350 0 2502 2024
p 2 37 1286 27 12849 2536
b 4 0 1350 0 2505 2035
b 4 0 1350 0 2680 2066
p 2 1 1332 17 10944 2234
b 4 0 1350 0 3024 2118
p 2 55 1281 14 16897 2663
b 4 0 1350 0 3300 2099
p 2 94 1238 18 15749 2642
b 4 0 1350 0 3595 2197
p 2 29 1305 16 14356 2525
b 4 0 1350 0 3217 2256
b 4 0 1350 0 2442 1894
p 2 14 1320 16 13856 2514
b 4 0 1350 0 2295 1909
b 4 0 1350 0 2531 1985
p 2 3 1335 12 13527 2504
b 4 0 1350 0 2501 1870
p 2 25 1316 9 15719 2644
b 4 0 1350 0 3684 2334
p 2 70 1267 13 14416 2812
b 4 0 1350 0 3622 2427
p 2 74 1268 8 14061 2885
b 4 0 1350 0 3195 2398
p 2 27 1313 10 14210 2891
b 4 0 1350 0 3278 2625
b 4 0 1350 0 2404 2074
p 2 18 1326 6 13191 2794
b 4 0 1350 0 3409 2693
b 4 0 1350 0 3972 2908
p 2 77 1270 3 16754 3099
b 4 0 1350 0 3751 2582
p 2 60 1282 8 15519 2945
b 4 0 1350 0 4385 2610
p 2 58 1280 12 15004 2864
b 4 0 1350 0 3474 2452
p 2 25 1320 5 14232 2829
b 4 0 1350 0 3346 2563
b 4 0 1350 0 2894 2196
p 2 10 1331 9 16933 2770
b 4 0 1350 0 3341 2373
b 4 0 1350 0 4221 2728
p 2 46 1302 2 18720 3053
b 4 0 1350 0 4844 2989
p 2 111 1230 9 14425 3157
b 4 0 1350 0 4919 3273
p 2 93 1252 5 14102 3209
b 4 0 1350 0 4075 2954
b 4 0 1350 0 3805 2844
p 2 28 1315 7 13263 3043
b 4 0 1350 0 3083 2524
b 4 0 1350 0 3048 2487
p 2 11 1327 12 11567 2663
b 4 0 1350 0 2868 2351
b 4 0 1350 0 3320 2662
p 2 17 1325 8 11587 2801
b 4 0 1350 0 3335 2747
p 2 33 1311 6 13411 2939
b 4 0 1350 0 4717 3197
p 2 63 1275 12 15212 3204
b 4 0 1350 0 5489 3394
p 2 151 1198 1 19312 3419
b 4 0 1350 0 4790 3155
p 2 88 1251 11 20178 3310
b 4 0 1350 0 4815 3004
b 4 0 1350 0 4206 2992
p 2 22 1325 3 21380 3364
b 4 0 1350 0 5109 3364
p 2 104 1240 6 16886 3478
b 4 0 1350 0 5296 3606
p 2 111 1238 1 15128 3374
b 4 0 1350 0 4201 3138
p 2 21 1321 8 15038 3228
b 4 0 1350 0 4516 3375
b 4 0 1350 0 4545 3164
p 2 67 1280 3 15293 3398
b 4 0 1350 0 4054 2966
p 2 57 1291 2 15379 3183
b 4 0 1350 0 4386 3167
p 2 37 1308 5 16401 3155
b 4 0 1350 0 4599 3311
p 2 48 1295 7 17219 3304
b 4 0 1350 0 4823 3290
p 2 85 1258 7 16473 3305
b 4 0 1350 0 4913 3383
p 2 95 1254 1 18216 3443
b 4 0 1350 0 4880 3150
p 2 19 1325 6 17803 3139
b 4 0 1350 0 5130 3459
p 2 74 1273 3 18608 3393
b 4 0 1350 0 5278 3543
p 2 70 1280 0 19471 3513
b 4 0 1350 0 4470 3199
p 2 14 1333 3 17981 3161
b 4 0 1350 0 4457 3045
p 2 6 1337 7 18190 3033
b 4 0 1350 0 4809 3196
p 2 52 1280 18 19426 3270
b 4 0 1350 0 4893 3234
p 2 38 1304 8 19467 3318
b 4 0 1350 0 4030 2975
p 2 37 1311 2 15683 2965
b 4 0 1350 0 4171 3094
p 2 41 1306 3 15804 3163
b 4 0 1350 0 3865 2969
p 2 13 1333 4 14755 3035
b 4 0 1350 0 3633 2855
p 2 10 1338 2 14279 2985
i 2 1350 0 0 19145 4520
b 4 0 1350 0 2113 1762
b 4 0 1350 0 2339 1899
p 2 17 1287 46 10101 2554
b 4 0 1350 0 2924 1897
b 4 0 1350 0 3655 2050
p 2 10 1300 40 9171 2365
b 4 0 1350 0 2381 1814
b 4 0 1350 0 1955 1620
p 2 5 1329 16 8616 2428
b 4 0 1350 0 1988 1689
b 4 0 1350 0 1923 1706
p 2 0 1338 12 8995 2437
b 4 0 1350 0 1634 1550
b 4 0 1350 0 1754 1495
p 2 0 1318 32 7041 2175
b 4 0 1350 0 2267 1901
b 4 0 1350 0 2238 1895
p 2 25 1293 32 10063 2504
b 4 0 1350 0 2905 1925
b 4 0 1350 0 2916 1836
p 2 9 1308 33 8304 2281
b 4 0 1350 0 2183 1724
b 4 0 1350 0 2073 1693
p 2 2 1331 17 10076 2473
b 4 0 1350 0 1738 1587
b 4 0 1350 0 1833 1576
p 2 0 1308 42 7045 2214
b 4 0 1350 0 1516 1437
b 4 0 1350 0 1605 1433
p 2 0 1312 38 5836 2014
b 4 0 1350 0 2153 1716
b 4 0 1350 0 1995 1647
p 2 12 1289 49 8967 2350
b 4 0 1350 0 2699 1908
b 4 0 1350 0 2463 1826
p 2 17 1317 16 12500 2534
b 4 0 1350 0 2403 1821
b 4 0 1350 0 2139 1739
p 2 13 1302 35 9281 2416
b 4 0 1350 0 1828 1626
b 4 0 1350 0 1636 1525
p 2 0 1310 40 7734 2260
b 4 0 1350 0 1850 1497
b 4 0 1350 0 1931 1533
p 2 0 1319 31 6445 2129
b 4 0 1350 0 2036 1729
b 4 0 1350 0 2009 1704
p 2 1 1326 23 10040 2459
b 4 0 1350 0 2521 1905
b 4 0 1350 0 2978 1972
p 2 35 1292 23 12763 2668
b 4 0 1350 0 2717 1814
b 4 0 1350 0 2909 1983
p 2 23 1280 47 9425 2514
b 4 0 1350 0 2325 1763
b 4 0 1350 0 2112 1655
p 2 1 1329 20 8612 2360
b 4 0 1350 0 1989 1720
b 4 0 1350 0 1720 1630
p 2 0 1338 12 8779 2367
b 4 0 1350 0 1548 1411
b 4 0 1350 0 1531 1476
p 2 0 1315 35 7262 2192
b 4 0 1350 0 2283 1644
b 4 0 1350 0 3132 1884
p 2 25 1293 32 11481 2508
b 4 0 1350 0 3178 1845
b 4 0 1350 0 3049 1885
p 2 4 1310 36 9110 2311
b 4 0 1350 0 3093 2095
b 4 0 1350 0 2573 1884
p 2 14 1320 16 12318 2662
b 4 0 1350 0 1845 1653
b 4 0 1350 0 1983 1654
p 2 0 1310 40 7464 2250
b 4 0 1350 0 1787 1617
b 4 0 1350 0 1872 1562
p 2 0 1322 28 6638 2060
b 4 0 1350 0 1574 1442
b 4 0 1350 0 1653 1489
p 2 0 1310 40 6599 2063
i 2 1350 0 0 33465 4652
b 4 0 1350 0 2453 1473
b 4 0 1350 0 2657 1527
p 2 8 1321 21 13750 2184
b 4 0 1350 0 2387 1317
b 4 0 1350 0 2302 1308
p 2 12 1294 44 11462 2049
b 4 0 1350 0 2199 1333
b 4 0 1350 0 1916 1210
p 2 6 1274 70 10749 1920
b 4 0 1350 0 2026 1142
b 4 0 1350 0 2118 1190
p 2 5 1323 22 14323 2176
b 4 0 1350 0 2442 1212
b 4 0 1350 0 2635 1301
p 2 25 1293 32 14302 2152
b 4 0 1350 0 2257 1227
p 2 9 1265 76 11581 1933
b 4 0 1350 0 2390 1243
b 4 0 1350 0 2214 1141
p 2 12 1282 56 12637 1988
b 4 0 1350 0 2394 1264
b 4 0 1350 0 2773 1401
p 2 7 1283 60 12184 2007
b 4 0 1350 0 2363 1254
p 2 12 1282 56 11928 2000
b 4 0 1350 0 2516 1332
p 2 16 1273 61 11523 2013
b 4 0 1350 0 2172 1175
p 2 13 1276 61 11459 1962
b 4 0 1350 0 2300 1370
b 4 0 1350 0 1963 1162
p 2 6 1278 66 11976 1940
b 4 0 1350 0 1920 1183
b 4 0 1350 0 2105 1228
p 2 5 1297 48 11181 1978
b 4 0 1350 0 2192 1230
p 2 13 1308 29 13870 2147
b 4 0 1350 0 2235 1257
p 2 11 1281 58 12453 2023
b 4 0 1350 0 2326 1282
b 4 0 1350 0 2136 1162
p 2 13 1249 88 12025 1930
b 4 0 1350 0 2116 1170
b 4 0 1350 0 2528 1414
p 2 2 1291 57 12104 1964
b 4 0 1350 0 2738 1396
b 4 0 1350 0 2735 1421
p 2 15 1297 38 14891 2185
b 4 0 1350 0 2270 1229
p 2 9 1248 93 11074 1958
b 4 0 1350 0 2473 1291
p 2 11 1282 57 11789 2037
b 4 0 1350 0 2158 1287
p 2 14 1265 71 10940 1950
b 4 0 1350 0 2358 1282
b 4 0 1350 0 1954 1177
p 2 5 1274 71 11733 1953
b 4 0 1350 0 1787 1076
b 4 0 1350 0 2144 1284
p 2 15 1317 18 13640 2121
b 4 0 1350 0 2352 1286
p 2 10 1252 88 11471 1973
b 4 0 1350 0 1974 1117
p 2 9 1274 67 10644 1921
b 4 0 1350 0 2115 1231
b 4 0 1350 0 1868 1153
p 2 7 1260 83 10980 1916
b 4 0 1350 0 1988 1157
b 4 0 1350 0 2148 1341
p 2 3 1277 70 11102 1923
b 4 0 1350 0 2358 1253
b 4 0 1350 0 2463 1316
p 2 8 1300 42 12536 2009
b 4 0 1350 0 2369 1258
b 4 0 1350 0 2246 1205
p 2 7 1271 72 11321 1927
b 4 0 1350 0 2001 1238
b 4 0 1350 0 1930 1172
p 2 0 1284 66 11052 1923
b 4 0 1350 0 1713 1079
b 4 0 1350 0 1763 1127
p 2 0 1295 55 10956 1938
b 4 0 1350 0 2047 1199
b 4 0 1350 0 2096 1247
p 2 3 1268 79 10746 1900
b 4 0 1350 0 2200 1185
b 4 0 1350 0 2205 1169
p 2 1 1317 32 13933 2038
p 2 0 1279 71 9826 1844
i 2 1350 0 0 23391 4849
b 4 0 1350 0 4597 3069
p 2 148 1195 7 16500 3496
b 4 0 1350 0 4246 3222
p 2 251 1093 6 17434 4047
b 4 0 1350 0 4111 3273
p 2 114 1235 1 15878 3672
b 4 0 1350 0 4882 3472
p 2 53 1295 2 16706 3580
b 4 0 1350 0 5061 3572
p 2 31 1318 1 18020 3499
b 4 0 1350 0 4357 3206
p 2 13 1336 1 17295 3284
b 4 0 1350 0 4222 3156
p 2 27 1323 0 15831 3182
b 4 0 1350 0 3730 2822
p 2 13 1337 0 15800 3208
b 4 0 1350 0 4073 3045
b 4 0 1350 0 3319 2593
p 2 8 1342 0 16486 3064
b 4 0 1350 0 3772 2808
b 4 0 1350 0 3684 2724
p 2 10 1339 1 15458 2964
b 4 0 1350 0 3422 2551
b 4 0 1350 0 3217 2402
p 2 2 1347 1 14954 2736
b 4 0 1350 0 3172 2509
b 4 0 1350 0 3046 2407
p 2 7 1339 4 14645 2868
b 4 0 1350 0 3477 2561
b 4 0 1350 0 3511 2556
p 2 7 1343 0 16696 2890
b 4 0 1350 0 3152 2537
b 4 0 1350 0 2991 2409
p 2 4 1341 5 15785 2772
b 4 0 1350 0 3489 2611
b 4 0 1350 0 3587 2714
p 2 9 1339 2 14823 2848
b 4 0 1350 0 3765 2796
b 4 0 1350 0 3763 2752
p 2 21 1325 4 15933 3061
b 4 0 1350 0 3229 2578
b 4 0 1350 0 3361 2675
p 2 14 1335 1 14495 2985
b 4 0 1350 0 3522 2695
b 4 0 1350 0 3791 2863
p 2 21 1328 1 13868 3062
b 4 0 1350 0 4200 3156
p 2 138 1212 0 16235 3587
b 4 0 1350 0 4431 3362
p 2 129 1221 0 16506 3662
b 4 0 1350 0 3938 3091
p 2 49 1294 7 16040 3430
b 4 0 1350 0 3621 2949
p 2 31 1314 5 14583 3183
b 4 0 1350 0 3282 2746
p 2 9 1341 0 13933 3055
b 4 0 1350 0 3503 2924
b 4 0 1350 0 3384 2802
p 2 30 1320 0 14790 3170
b 4 0 1350 0 3589 2955
b 4 0 1350 0 3381 2789
p 2 17 1331 2 14537 3136
b 4 0 1350 0 3252 2809
b 4 0 1350 0 3093 2631
p 2 9 1340 1 13974 2983
b 4 0 1350 0 3052 2656
b 4 0 1350 0 2954 2562
p 2 6 1340 4 12844 2910
b 4 0 1350 0 2907 2560
b 4 0 1350 0 2871 2520
p 2 11 1338 1 12425 2742
b 4 0 1350 0 3239 2650
b 4 0 1350 0 3257 2717
p 2 9 1338 3 13125 2935
b 4 0 1350 0 3331 2810
b 4 0 1350 0 3119 2678
p 2 8 1339 3 12488 3095
b 4 0 1350 0 3138 2694
b 4 0 1350 0 3076 2626
p 2 6 1338 6 11573 2856
b 4 0 1350 0 3159 2694
b 4 0 1350 0 3158 2653
p 2 6 1342 2 12212 2947
b 4 0 1350 0 2908 2573
b 4 0 1350 0 2495 2283
p 2 8 1338 4 11830 2802
b 4 0 1350 0 2960 2642
b 4 0 1350 0 2931 2589
p 2 26 1323 1 11166 2851
b 4 0 1350 0 2834 2533
b 4 0 1350 0 2703 2426
p 2 14 1330 6 10866 2832
b 4 0 1350 0 2668 2424
b 4 0 1350 0 2745 2513
p 2 3 1342 5 10980 2781
b 4 0 1350 0 2876 2573
b 4 0 1350 0 2673 2422
p 2 2 1346 2 11624 2808
b 4 0 1350 0 2989 2581
b 4 0 1350 0 3258 2767
p 2 12 1335 3 12063 3016
b 4 0 1350 0 3011 2606
p 2 11 1334 5 11989 2962
b 4 0 1350 0 3076 2632
b 4 0 1350 0 2824 2448
p 2 8 1339 3 11753 2754
b 4 0 1350 0 2836 2511
b 4 0 1350 0 3028 2660
p 2 2 1346 2 11872 2832
b 4 0 1350 0 3565 2962
b 4 0 1350 0 3412 2863
p 2 34 1312 4 13202 3121
b 4 0 1350 0 3112 2612
b 4 0 1350 0 3041 2584
p 2 9 1338 3 13709 2932
b 4 0 1350 0 3041 2658
b 4 0 1350 0 3183 2699
p 2 10 1332 8 12366 2868
b 4 0 1350 0 2963 2505
p 2 14 1330 6 10783 2649
b 4 0 1350 0 3186 2703
p 2 14 1332 4 11747 2819
i 2 1350 0 0 25846 4824
b 4 0 1350 0 2880 1839
b 4 0 1350 0 2393 1833
p 2 19 1295 36 11751 2445
b 4 0 1350 0 2206 1735
b 4 0 1350 0 2280 1772
p 2 9 1295 46 11636 2361
b 4 0 1350 0 2309 1712
b 4 0 1350 0 2255 1615
p 2 8 1301 41 12766 2240
b 4 0 1350 0 1876 1520
b 4 0 1350 0 2049 1548
p 2 18 1324 8 12683 2363
b 4 0 1350 0 2074 1644
b 4 0 1350 0 2248 1663
p 2 10 1303 37 9980 2238
b 4 0 1350 0 1613 1466
b 4 0 1350 0 1787 1487
p 2 0 1298 52 9657 2144
b 4 0 1350 0 1636 1361
b 4 0 1350 0 1698 1454
p 2 0 1292 58 9574 2081
b 4 0 1350 0 1774 1471
b 4 0 1350 0 1741 1480
p 2 0 1311 39 12543 2225
b 4 0 1350 0 2087 1718
b 4 0 1350 0 2048 1654
p 2 0 1318 32 10870 2214
b 4 0 1350 0 2418 1903
b 4 0 1350 0 2510 1891
p 2 2 1304 44 12044 2313
b 4 0 1350 0 2106 1732
b 4 0 1350 0 2027 1607
p 2 0 1322 28 11362 2304
b 4 0 1350 0 2140 1825
b 4 0 1350 0 2022 1791
p 2 0 1326 24 11179 2312
b 4 0 1350 0 1762 1614
b 4 0 1350 0 1796 1617
p 2 0 1323 27 9425 2197
b 4 0 1350 0 1720 1464
b 4 0 1350 0 1508 1377
p 2 0 1331 19 8852 2193
b 4 0 1350 0 1610 1455
b 4 0 1350 0 1527 1363
p 2 0 1330 20 8727 2080
p 2 0 1293 57 7509 1907
i 2 1350 0 0 17225 4473
b 4 0 1350 0 3231 2628
b 4 0 1350 0 2922 2565
p 2 3 1325 22 11334 2822
b 4 0 1350 0 3185 2800
b 4 0 1350 0 3340 2895
p 2 23 1304 23 11237 2936
b 4 0 1350 0 3331 2772
p 2 29 1296 25 11523 3090
b 4 0 1350 0 3455 2848
p 2 12 1322 16 12098 3096
b 4 0 1350 0 3366 2730
p 2 9 1339 2 13580 3167
b 4 0 1350 0 3608 2871
b 4 0 1350 0 3649 2841
p 2 14 1325 11 14385 3113
b 4 0 1350 0 4008 2872
b 4 0 1350 0 3521 2729
p 2 19 1323 8 13738 3025
b 4 0 1350 0 3593 2595
p 2 9 1338 3 12384 2858
b 4 0 1350 0 3640 2686
p 2 4 1338 8 12300 2941
b 4 0 1350 0 3833 2998
p 2 36 1305 9 15099 3325
b 4 0 1350 0 4097 3067
p 2 86 1259 5 15052 3528
b 4 0 1350 0 4752 3386
p 2 106 1242 2 16672 3528
b 4 0 1350 0 4111 3126
p 2 71 1278 1 15942 3366
b 4 0 1350 0 4333 3202
p 2 61 1286 3 16001 3324
b 4 0 1350 0 4203 3052
p 2 73 1273 4 16206 3333
b 4 0 1350 0 4946 3416
p 2 45 1304 1 17893 3451
b 4 0 1350 0 4370 3344
p 2 85 1263 2 17910 3535
b 4 0 1350 0 4481 3217
p 2 67 1282 1 18631 3549
b 4 0 1350 0 4612 3143
p 2 62 1288 0 19629 3460
b 4 0 1350 0 4479 3112
p 2 32 1318 0 18861 3359
b 4 0 1350 0 4340 3208
p 2 32 1316 2 19908 3296
b 4 0 1350 0 5379 3396
p 2 31 1319 0 20607 3280
b 4 0 1350 0 5891 3517
p 2 38 1312 0 20653 3428
b 4 0 1350 0 6379 3567
p 2 61 1289 0 20246 3481
b 4 0 1350 0 6407 3686
p 2 84 1266 0 19953 3571
b 4 0 1350 0 7066 3997
p 2 44 1304 2 20692 3619
b 4 0 1350 0 7490 4052
p 2 217 1132 1 21982 4179
b 4 0 1350 0 7507 4262
p 2 183 1162 5 22893 4133
b 4 0 1350 0 7471 4364
p 2 135 1212 3 24710 3998
b 4 0 1350 0 7647 4055
p 2 91 1252 7 23042 3697
b 4 0 1350 0 7237 4021
p 2 87 1262 1 24104 3714
b 4 0 1350 0 7395 3868
p 2 114 1235 1 24143 3695
b 4 0 1350 0 6650 3555
p 2 56 1294 0 23888 3503
b 4 0 1350 0 5876 3199
p 2 29 1320 1 22954 3174
b 4 0 1350 0 5995 3174
p 2 31 1313 6 25165 3049
b 4 0 1350 0 4557 3037
p 2 17 1330 3 21005 2938
b 4 0 1350 0 4458 2889
p 2 8 1338 4 21335 2845
b 4 0 1350 0 4203 2561
p 2 4 1340 6 23847 2707
b 4 0 1350 0 4353 2274
b 4 0 1350 0 4164 2417
p 2 7 1340 3 24041 2685
b 4 0 1350 0 3580 2341
p 2 8 1336 6 20944 2577
b 4 0 1350 0 3972 2449
p 2 7 1342 1 20453 2638
b 4 0 1350 0 3488 2289
p 2 1 1348 1 21152 2561
b 4 0 1350 0 3811 2505
p 2 15 1331 4 19211 2535
b 4 0 1350 0 4202 2438
p 2 37 1309 4 21664 2715
b 4 0 1350 0 4331 2278
p 2 17 1326 7 21166 2488
b 4 0 1350 0 4252 2397
b 4 0 1350 0 3782 2285
p 2 12 1333 5 20815 2378
b 4 0 1350 0 3244 2287
b 4 0 1350 0 2964 2120
p 2 1 1349 0 22721 2538
b 4 0 1350 0 3736 2473
p 2 12 1336 2 20527 2610
b 4 0 1350 0 4222 2584
p 2 21 1327 2 21172 2590
b 4 0 1350 0 3850 2576
p 2 19 1328 3 20697 2587
b 4 0 1350 0 3738 2419
p 2 4 1340 6 22408 2493
b 4 0 1350 0 4199 2447
p 2 15 1329 6 23610 2579
b 4 0 1350 0 5204 2619
p 2 30 1311 9 27062 2823
b 4 0 1350 0 5623 2469
p 2 48 1296 6 25786 2831
b 4 0 1350 0 4854 2375
p 2 37 1304 9 21816 2710
b 4 0 1350 0 4501 2837
p 2 82 1259 9 22398 3045
b 4 0 1350 0 5531 2978
p 2 27 1314 9 22670 2929
b 4 0 1350 0 6279 3164
p 2 145 1192 13 23330 3413
