# XviD 2pass stat file (core version 1.3.5)
# Please do not modify this file

p 2 2 579 769 32243 1139
b 4 0 1350 0 3473 716
b 4 0 1350 0 5301 889
p 2 1 612 737 32066 1158
b 4 0 1350 0 3651 697
b 4 0 1350 0 2704 625
p 2 1 597 752 22745 1063
b 4 0 1350 0 5760 836
b 4 0 1350 0 4419 719
p 2 0 576 774 21664 1013
b 4 0 1350 0 4492 801
b 4 0 1350 0 6571 870
p 2 0 566 784 20193 998
b 4 0 1350 0 6362 965
b 4 0 1350 0 5113 870
p 2 2 620 728 37271 1246
b 4 0 1350 0 3980 797
b 4 0 1350 0 6183 920
p 2 0 591 759 21501 1090
b 4 0 1350 0 6370 916
b 4 0 1350 0 5018 822
p 2 7 583 760 27124 1131
b 4 0 1350 0 3568 705
b 4 0 1350 0 3659 773
p 2 1 557 792 23810 1049
b 4 0 1350 0 3622 734
b 4 0 1350 0 3646 762
p 2 12 596 742 31870 1211
b 4 0 1350 0 3210 822
b 4 0 1350 0 3181 774
p 2 13 589 748 23022 1188
b 4 0 1350 0 3252 838
b 4 0 1350 0 3493 919
p 2 25 581 744 30350 1313
b 4 0 1350 0 1799 616
b 4 0 1350 0 3132 927
p 2 23 583 744 27461 1337
b 4 0 1350 0 1865 647
b 4 0 1350 0 2246 785
p 2 31 585 734 26898 1426
b 4 0 1350 0 3491 1031
b 4 0 1350 0 1864 819
p 2 81 531 738 20312 1766
b 4 0 1350 0 3118 1084
b 4 0 1350 0 3180 1256
p 2 20 585 745 8157 1699
b 4 0 1350 0 1024 698
b 4 0 1350 0 745 639
p 2 0 564 786 2202 1342
b 4 0 1350 0 587 586
b 4 0 1350 0 643 643
p 2 0 551 799 2151 1214
b 4 0 1350 0 393 393
b 4 0 1350 0 313 313
p 2 0 463 887 821 809
b 4 0 1350 0 168 168
b 4 0 1350 0 145 145
p 2 0 335 1015 679 671
b 4 0 1350 0 126 126
b 4 0 1350 0 100 100
p 2 0 304 1046 569 564
b 4 0 1350 0 53 53
b 4 0 1350 0 51 51
p 2 0 189 1161 400 395
b 4 0 1350 0 55 55
b 4 0 1350 0 50 50
p 2 0 231 1119 391 386
b 4 0 1350 0 31 31
b 4 0 1350 0 32 32
p 2 0 163 1187 327 326
b 4 0 1350 0 32 32
b 4 0 1350 0 31 31
p 2 0 150 1200 311 310
b 4 0 1350 0 200 193
b 4 0 1350 0 202 176
p 2 0 280 1070 1759 454
b 4 0 1350 0 729 520
b 4 0 1350 0 662 454
p 2 0 567 783 6277 836
b 4 0 1350 0 1590 1096
p 2 5 1223 122 20253 1973
b 4 0 1350 0 2341 1528
p 2 114 1231 5 35530 3034
b 4 0 1350 0 1394 1063
p 2 0 1349 1 19673 2098
b 4 0 1350 0 1871 1394
b 4 0 1350 0 1621 1320
p 2 0 1350 0 20179 2154
b 4 0 1350 0 1575 1225
b 4 0 1350 0 1879 1483
p 2 0 1350 0 13139 2008
b 4 0 1350 0 1774 1306
b 4 0 1350 0 1857 1391
p 2 0 1348 2 12138 1975
b 4 0 1350 0 1552 1218
b 4 0 1350 0 1946 1420
p 2 0 1348 2 13339 1954
i 2 1350 0 0 42782 5036
b 4 0 1350 0 1511 1156
b 4 0 1350 0 1666 1296
p 2 0 1348 2 14189 2030
b 4 0 1350 0 1577 1134
b 4 0 1350 0 1565 1210
p 2 0 1345 5 13689 1984
b 4 0 1350 0 1562 1213
b 4 0 1350 0 2007 1491
p 2 0 1349 1 13009 1954
b 4 0 1350 0 2039 1536
b 4 0 1350 0 1595 1265
p 2 0 1348 2 12878 1980
b 4 0 1350 0 2031 1513
b 4 0 1350 0 2127 1605
p 2 0 1350 0 13931 2039
b 4 0 1350 0 2131 1444
b 4 0 1350 0 1975 1399
p 2 0 1350 0 13428 1993
b 4 0 1350 0 2086 1438
b 4 0 1350 0 1906 1460
p 2 0 1350 0 13427 1951
b 4 0 1350 0 1641 1216
b 4 0 1350 0 1945 1415
p 2 0 1349 1 13856 1959
b 4 0 1350 0 1518 1106
p 2 0 1350 0 17172 2038
b 4 0 1350 0 1721 1273
b 4 0 1350 0 2015 1494
p 2 0 1348 2 12755 1992
b 4 0 1350 0 1655 1297
b 4 0 1350 0 1735 1321
p 2 0 1349 1 12797 1948
b 4 0 1350 0 1749 1348
b 4 0 1350 0 1603 1278
p 2 0 1349 1 13353 1956
b 4 0 1350 0 2152 1639
b 4 0 1350 0 1884 1505
p 2 0 1349 1 17252 2051
b 4 0 1350 0 1914 1387
b 4 0 1350 0 1871 1434
p 2 0 1349 1 12910 1982
b 4 0 1350 0 1632 1302
b 4 0 1350 0 1940 1462
p 2 0 1350 0 13135 1937
b 4 0 1350 0 1736 1323
b 4 0 1350 0 1772 1292
p 2 0 1346 4 13317 1962
b 4 0 1350 0 1878 1437
b 4 0 1350 0 1970 1475
p 2 0 1348 2 17140 2063
b 4 0 1350 0 2102 1588
b 4 0 1350 0 1629 1290
p 2 0 1347 3 12489 1969
b 4 0 1350 0 1890 1354
b 4 0 1350 0 1608 1234
p 2 0 1348 2 13551 1945
b 4 0 1350 0 1626 1259
b 4 0 1350 0 1635 1328
p 2 0 1343 7 12721 1954
b 4 0 1350 0 1706 1355
b 4 0 1350 0 1866 1433
p 2 0 1350 0 16383 2039
b 4 0 1350 0 1888 1225
b 4 0 1350 0 1901 1503
p 2 0 1347 3 12147 1961
b 4 0 1350 0 2077 1600
b 4 0 1350 0 1616 1256
p 2 0 1349 1 12925 1961
b 4 0 1350 0 1983 1495
b 4 0 1350 0 1702 1296
p 2 0 1347 3 14360 1996
b 4 0 1350 0 1689 1226
b 4 0 1350 0 1832 1347
p 2 0 1349 1 16780 2072
b 4 0 1350 0 1922 1375
b 4 0 1350 0 1916 1361
p 2 0 1343 7 13836 1998
b 4 0 1350 0 2014 1387
b 4 0 1350 0 2167 1553
p 2 0 1349 1 14308 1976
b 4 0 1350 0 2247 1561
b 4 0 1350 0 2373 1661
p 2 0 1345 5 13755 2015
b 4 0 1350 0 2077 1383
b 4 0 1350 0 2029 1335
p 2 0 1350 0 20340 2202
b 4 0 1350 0 2028 1372
b 4 0 1350 0 2103 1366
p 2 0 1347 3 14608 2137
b 4 0 1350 0 2020 1309
b 4 0 1350 0 2112 1297
p 2 1 1346 3 13568 2001
b 4 0 1350 0 2208 1389
b 4 0 1350 0 2581 1634
p 2 0 1348 2 14699 2003
b 4 0 1350 0 1590 1023
p 2 0 1349 1 14197 2028
b 4 0 1350 0 2575 1666
b 4 0 1350 0 2228 1414
p 2 0 1345 5 15981 2046
b 4 0 1350 0 2351 1555
b 4 0 1350 0 2143 1414
p 2 0 1350 0 15282 2011
b 4 0 1350 0 2089 1417
b 4 0 1350 0 2101 1281
p 2 0 1345 5 14937 2021
b 4 0 1350 0 2100 1323
b 4 0 1350 0 2083 1359
p 2 0 1344 6 15692 2031
b 4 0 1350 0 2386 1509
b 4 0 1350 0 1887 1269
p 2 0 1345 5 15003 2024
b 4 0 1350 0 2133 1499
b 4 0 1350 0 1765 1218
p 2 0 1347 3 13701 1995
b 4 0 1350 0 1887 1338
b 4 0 1350 0 1857 1266
p 2 0 1346 4 15128 2011
b 4 0 1350 0 2187 1522
b 4 0 1350 0 2075 1361
p 2 0 1348 2 15238 2001
b 4 0 1350 0 1981 1425
b 4 0 1350 0 2019 1371
p 2 0 1349 1 14051 2010
b 4 0 1350 0 1902 1326
b 4 0 1350 0 2029 1367
p 2 0 1348 2 15195 1993
b 4 0 1350 0 1999 1329
b 4 0 1350 0 2174 1490
p 2 0 1346 4 14829 1956
b 4 0 1350 0 1913 1330
b 4 0 1350 0 1946 1388
p 2 0 1347 3 14519 1961
b 4 0 1350 0 2093 1432
b 4 0 1350 0 2019 1457
p 2 0 1349 1 13519 1984
b 4 0 1350 0 2101 1545
b 4 0 1350 0 1802 1288
p 2 0 1348 2 14770 1961
b 4 0 1350 0 2311 1672
b 4 0 1350 0 1798 1325
p 2 0 1345 5 14241 1948
b 4 0 1350 0 2103 1414
b 4 0 1350 0 1803 1272
p 2 0 1346 4 13563 1950
b 4 0 1350 0 1689 1206
b 4 0 1350 0 1738 1258
p 2 0 1347 3 15279 1992
b 4 0 1350 0 2158 1583
b 4 0 1350 0 1824 1263
p 2 0 1349 1 14539 1961
b 4 0 1350 0 1979 1449
b 4 0 1350 0 1862 1355
p 2 0 1344 6 14743 1970
b 4 0 1350 0 2469 1795
b 4 0 1350 0 1780 1262
p 2 0 1345 5 14235 1955
b 4 0 1350 0 1740 1224
b 4 0 1350 0 1971 1371
p 2 0 1344 6 14012 1967
b 4 0 1350 0 2014 1445
b 4 0 1350 0 2071 1451
p 2 0 1345 5 14673 1933
b 4 0 1350 0 1901 1321
p 2 0 1342 8 12931 1924
b 4 0 1350 0 1948 1208
b 4 0 1350 0 2314 1451
p 2 0 1346 4 14498 1965
b 4 0 1350 0 1692 1051
p 2 1 1348 1 15386 2004
b 4 0 1350 0 2043 1162
p 2 1 1347 2 13941 1930
b 4 0 1350 0 2224 1428
p 2 3 1345 2 13338 1948
b 4 0 1350 0 2181 1267
p 2 2 1338 10 13857 1934
b 4 0 1350 0 2070 1179
b 4 0 1350 0 2342 1411
p 2 1 1340 9 15300 1960
b 4 0 1350 0 2220 1262
p 2 0 1344 6 13689 1945
b 4 0 1350 0 2267 1244
p 2 3 1343 4 15123 1982
b 4 0 1350 0 1901 1058
p 2 3 1338 9 14367 1943
b 4 0 1350 0 2494 1394
p 2 2 1339 9 14958 1977
b 4 0 1350 0 2583 1486
p 2 0 1343 7 14286 1949
b 4 0 1350 0 2185 1251
p 2 0 1334 16 13487 1945
b 4 0 1350 0 2353 1225
p 2 0 1342 8 11633 1902
b 4 0 1350 0 2349 1292
p 2 0 1343 7 13025 1939
b 4 0 1350 0 2237 1229
p 2 0 1346 4 14997 1908
b 4 0 1350 0 2389 1384
p 2 1 1330 19 12453 1900
b 4 0 1350 0 1889 973
p 2 0 1342 8 13312 1900
b 4 0 1350 0 1822 1050
p 2 0 1342 8 11840 1911
b 4 0 1350 0 1918 1014
p 2 0 1341 9 13182 1919
b 4 0 1350 0 2950 1662
p 2 1 1346 3 14474 1969
b 4 0 1350 0 1736 1037
p 2 1 1342 7 14352 1911
b 4 0 1350 0 1849 1089
p 2 46 1302 2 15651 2126
b 4 0 1350 0 1799 1190
p 2 63 1284 3 17738 2241
b 4 0 1350 0 1853 1156
p 2 26 1320 4 18730 2226
b 4 0 1350 0 2373 1623
p 2 15 1332 3 18837 2263
b 4 0 1350 0 2988 1810
p 2 82 1260 8 19969 2590
b 4 0 1350 0 3849 2272
p 2 76 1273 1 25647 2955
b 4 0 1350 0 4252 2149
p 2 134 1205 11 27129 3099
b 4 0 1350 0 2380 1532
p 2 11 1335 4 21811 2581
b 4 0 1350 0 2284 1421
p 2 11 1334 5 19227 2440
b 4 0 1350 0 1720 1050
p 2 21 1328 1 20455 2283
b 4 0 1350 0 1645 919
p 2 4 1343 3 15896 2017
b 4 0 1350 0 1551 821
p 2 10 1334 6 17246 1987
b 4 0 1350 0 1736 983
p 2 14 1325 11 18613 2050
b 4 0 1350 0 1791 1029
p 2 10 1334 6 16387 2055
b 4 0 1350 0 2107 1164
p 2 10 1332 8 17128 2023
b 4 0 1350 0 2382 1166
p 2 7 1339 4 17323 2056
b 4 0 1350 0 1885 1150
b 4 0 1350 0 2416 1377
p 2 0 1342 8 15772 2036
b 4 0 1350 0 2018 1211
b 4 0 1350 0 2297 1226
p 2 0 1348 2 14884 1882
b 4 0 1350 0 2393 1456
b 4 0 1350 0 2271 1220
p 2 0 1335 15 14545 1922
b 4 0 1350 0 2929 1643
b 4 0 1350 0 2256 1317
p 2 0 1343 7 15632 1924
b 4 0 1350 0 2844 1416
b 4 0 1350 0 1912 1115
p 2 0 1339 11 18002 1938
b 4 0 1350 0 2653 1383
b 4 0 1350 0 2425 1211
p 2 0 1346 4 17010 1901
b 4 0 1350 0 2567 1272
b 4 0 1350 0 2425 1260
p 2 0 1341 9 16713 1895
b 4 0 1350 0 2086 1166
b 4 0 1350 0 2224 1156
p 2 0 1340 10 17954 1897
b 4 0 1350 0 3312 1474
b 4 0 1350 0 3276 1498
p 2 0 1344 6 19798 1960
b 4 0 1350 0 2102 1127
b 4 0 1350 0 2567 1263
p 2 0 1340 10 17400 1894
b 4 0 1350 0 2031 1008
b 4 0 1350 0 1996 1044
p 2 0 1337 13 16061 1880
b 4 0 1350 0 2773 1368
b 4 0 1350 0 2699 1247
p 2 0 1331 19 17936 1926
b 4 0 1350 0 1891 1057
b 4 0 1350 0 2244 1162
p 2 0 1339 11 17102 1937
b 4 0 1350 0 1925 1039
b 4 0 1350 0 2585 1221
p 2 0 1335 15 17400 1899
b 4 0 1350 0 2164 1086
b 4 0 1350 0 3134 1416
p 2 0 1333 17 16052 1871
b 4 0 1350 0 2717 1163
b 4 0 1350 0 2100 1012
p 2 0 1336 14 18022 1917
b 4 0 1350 0 2664 1305
b 4 0 1350 0 1960 1085
p 2 0 1343 7 17173 1948
b 4 0 1350 0 2740 1222
b 4 0 1350 0 2918 1268
p 2 0 1347 3 17556 1901
b 4 0 1350 0 2484 1162
b 4 0 1350 0 2615 1228
p 2 0 1332 18 15750 1892
i 2 1350 0 0 47489 5004
b 4 0 1350 0 2310 1350
b 4 0 1350 0 2407 1388
p 2 0 1349 1 31474 2173
b 4 0 1350 0 1248 739
b 4 0 1350 0 1731 1007
p 2 0 1331 19 18459 1857
b 4 0 1350 0 1112 729
b 4 0 1350 0 772 581
p 2 0 1309 41 14114 1738
b 4 0 1350 0 1289 993
b 4 0 1350 0 1439 792
p 2 0 1266 84 12111 1673
b 4 0 1350 0 1048 633
b 4 0 1350 0 1368 824
p 2 0 1340 10 22234 1979
b 4 0 1350 0 1841 892
b 4 0 1350 0 2110 947
p 2 0 1304 46 12318 1687
b 4 0 1350 0 3322 1303
b 4 0 1350 0 2429 1090
p 2 0 1244 106 11848 1615
